The Hobbit                              ; J.R.R. Tolkien
Clean Code                              ; Robert C. Martin
Pride and Prejudice                     ; Jane Austen
Effective Java                          ; Joshua Bloch
Harry Potter and the Philosopher's Stone; J.K. Rowling
The Pragmatic Programmer                ; Andrew Hunt & David Thomas
Dune                                    ; Frank Herbert
To Kill a Mockingbird                   ; Harper Lee
1984                                    ; George Orwell
The Catcher in the Rye                  ; J.D. Salinger
Brave New World                         ; Aldous Huxley
Fahrenheit 451                          ; Ray Bradbury
The Great Gatsby                        ; F. Scott Fitzgerald
Moby Dick                               ; Herman Melville
Crime and Punishment                    ; Fyodor Dostoevsky
Normal People                           ; Sally Rooney
